iter	Passed	Remaining
0	145	145373
1	146	73330
2	148	49193
3	148	37067
4	149	29844
5	150	24949
6	151	21450
7	151	18809
8	152	16762
9	152	15124
10	153	13787
11	153	12666
12	154	11720
13	154	10912
14	155	10205
15	155	9582
16	156	9040
17	156	8553
18	157	8115
19	158	7777
20	159	7421
21	159	7101
22	160	6807
23	160	6539
24	161	6289
25	161	6061
26	162	5847
27	162	5651
28	163	5466
29	163	5300
30	164	5142
31	164	4989
32	165	4848
33	166	4719
34	166	4591
35	167	4479
36	167	4367
37	168	4260
38	168	4156
39	169	4065
40	170	3976
41	170	3890
42	171	3806
43	171	3727
44	172	3652
45	172	3586
46	173	3519
47	174	3457
48	174	3392
49	175	3330
50	175	3273
51	176	3221
52	177	3165
53	177	3111
54	178	3060
55	178	3012
56	179	2962
57	179	2916
58	180	2874
59	180	2831
60	181	2789
61	181	2750
62	182	2710
63	182	2672
64	183	2634
65	183	2597
66	183	2562
67	184	2527
68	185	2496
69	185	2466
70	186	2434
71	186	2406
72	187	2377
73	187	2349
74	188	2322
75	188	2295
76	189	2270
77	189	2245
78	190	2221
79	190	2196
80	191	2171
81	191	2147
82	192	2125
83	192	2102
84	193	2080
85	193	2059
86	194	2037
87	194	2019
88	195	1999
89	195	1980
90	196	1962
91	196	1943
92	197	1925
93	198	1909
94	198	1893
95	199	1881
96	200	1865
97	200	1849
98	201	1832
99	201	1817
100	202	1802
101	203	1787
102	203	1772
103	204	1758
104	204	1743
105	205	1729
106	205	1715
107	205	1700
108	206	1687
109	206	1674
110	207	1660
111	207	1649
112	208	1637
113	209	1626
114	209	1613
115	210	1601
116	210	1589
117	211	1579
118	211	1569
119	212	1557
120	213	1548
121	213	1536
122	214	1526
123	214	1515
124	215	1506
125	215	1496
126	216	1487
127	216	1476
128	217	1466
129	217	1457
130	218	1448
131	218	1439
132	219	1429
133	219	1421
134	220	1413
135	221	1405
136	221	1396
137	222	1387
138	222	1378
139	223	1372
140	223	1363
141	224	1355
142	224	1347
143	225	1339
144	225	1332
145	226	1325
146	227	1317
147	227	1309
148	228	1302
149	228	1295
150	229	1288
151	229	1280
152	230	1273
153	230	1267
154	231	1260
155	231	1254
156	232	1248
157	232	1241
158	233	1235
159	233	1228
160	234	1222
161	234	1215
162	235	1209
163	236	1203
164	236	1196
165	237	1191
166	237	1185
167	238	1179
168	238	1172
169	238	1166
170	239	1162
171	240	1156
172	240	1150
173	241	1144
174	241	1139
175	242	1133
176	243	1130
177	243	1124
178	244	1119
179	244	1114
180	245	1108
181	245	1103
182	246	1098
183	246	1093
184	247	1088
185	247	1082
186	247	1077
187	248	1072
188	248	1068
189	249	1062
190	249	1056
191	249	1051
192	250	1047
193	251	1042
194	251	1037
195	251	1033
196	252	1027
197	252	1023
198	253	1018
199	253	1014
200	254	1010
201	254	1005
202	254	1001
203	255	996
204	255	992
205	256	987
206	256	983
207	257	979
208	257	975
209	258	971
210	258	967
211	259	963
212	259	958
213	260	955
214	260	951
215	261	947
216	261	943
217	261	939
218	262	935
219	262	931
220	263	927
221	263	924
222	264	920
223	264	916
224	264	912
225	265	907
226	265	904
227	266	900
228	266	897
229	266	893
230	267	890
231	267	885
232	268	882
233	268	878
234	268	874
235	269	871
236	269	867
237	269	864
238	270	860
239	270	856
240	270	852
241	271	848
242	271	845
243	271	841
244	271	838
245	272	834
246	273	832
247	273	829
248	273	826
249	274	823
250	274	820
251	275	817
252	275	814
253	276	811
254	276	808
255	277	805
256	277	801
257	277	798
258	278	795
259	278	793
260	279	791
261	279	788
262	280	785
263	280	782
264	281	779
265	281	776
266	281	773
267	282	770
268	282	767
269	282	764
270	283	761
271	283	758
272	283	755
273	283	752
274	284	749
275	284	746
276	284	743
277	285	741
278	286	739
279	286	736
280	287	734
281	287	732
282	288	729
283	288	726
284	288	724
285	289	721
286	289	718
287	289	716
288	290	713
289	290	710
290	290	707
291	290	705
292	291	702
293	291	700
294	291	697
295	292	695
296	292	692
297	293	690
298	293	687
299	294	686
300	294	683
301	294	681
302	295	679
303	295	677
304	296	675
305	296	673
306	297	670
307	297	668
308	297	666
309	298	664
310	298	662
311	299	660
312	300	658
313	300	656
314	301	656
315	302	654
316	303	653
317	303	651
318	304	649
319	304	647
320	305	645
321	305	643
322	306	641
323	306	639
324	306	637
325	307	634
326	307	632
327	307	630
328	308	628
329	308	626
330	309	625
331	309	623
332	310	621
333	310	618
334	310	616
335	311	615
336	311	613
337	312	611
338	312	609
339	313	607
340	313	606
341	314	604
342	314	602
343	315	601
344	315	599
345	316	597
346	316	595
347	316	593
348	317	592
349	317	590
350	318	588
351	318	586
352	319	584
353	319	583
354	320	581
355	320	579
356	321	578
357	321	576
358	321	574
359	322	573
360	322	571
361	323	569
362	323	568
363	324	566
364	324	564
365	325	563
366	325	561
367	326	560
368	326	558
369	327	557
370	328	556
371	329	555
372	329	553
373	330	552
374	330	551
375	331	549
376	331	548
377	332	546
378	332	544
379	333	543
380	333	541
381	334	540
382	334	539
383	335	537
384	335	536
385	336	534
386	336	533
387	336	531
388	337	529
389	338	528
390	338	527
391	339	525
